n;RN;AVL;B-1;B-5;B-10
386;4294;7062;8283;6577;6513
387;4287;7077;8240;6595;6510
388;4301;7117;8304;6641;6532
389;4342;7151;8309;6658;6547
390;4333;7137;8360;6650;6563
391;4347;7166;8373;6668;6603
392;4356;7184;8424;6676;6600
393;4377;7189;8462;6708;6620
394;4416;7257;8448;6726;6648
395;4431;7274;8485;6739;6660
396;4437;7280;8514;6769;6681
397;4446;7327;8505;6800;6692
398;4414;7290;8554;6811;6723
399;4459;7326;8573;6820;6747
400;4478;7380;8614;6833;6762
401;4467;7376;8626;6871;6803
402;4496;7422;8671;6894;6804
403;4485;7419;8672;6907;6814
404;4494;7436;8679;6915;6857
405;4529;7458;8720;6945;6859
406;4590;7544;8758;6965;6890
407;4546;7494;8763;6991;6898
408;4553;7535;8767;7001;6909
409;4558;7541;8802;7023;6924
410;4597;7571;8843;7031;6951
411;4604;7611;8852;7054;6981
412;4605;7585;8853;7064;6995
413;4643;7667;8931;7073;7006
414;4665;7674;8932;7115;7025
415;4658;7678;8939;7128;7050
416;4642;7719;9012;7158;7066
417;4655;7697;9014;7164;7095
418;4718;7752;9043;7193;7103
419;4708;7783;9067;7215;7122
420;4731;7796;9109;7232;7143
421;4743;7821;9092;7242;7155
422;4764;7820;9126;7260;7190
423;4734;7827;9147;7277;7212
424;4719;7860;9145;7306;7225
425;4775;7897;9195;7324;7236
426;4762;7893;9211;7358;7274
427;4791;7911;9240;7340;7274
428;4825;7946;9246;7368;7294
429;4848;7955;9289;7373;7326
430;4852;7989;9342;7416;7356
431;4868;7991;9369;7429;7354
432;4871;8032;9378;7462;7368
433;4871;8033;9408;7456;7401
434;4927;8105;9416;7486;7419
435;4900;8117;9453;7495;7449
436;4925;8116;9486;7526;7450
437;4935;8124;9493;7551;7473
438;4937;8110;9498;7570;7498
439;4980;8223;9568;7591;7536
440;4992;8213;9601;7608;7528
441;4996;8235;9592;7612;7554
442;4995;8250;9635;7616;7563
443;4999;8250;9662;7645;7591
444;5022;8287;9662;7694;7619
445;5037;8359;9679;7691;7637
446;5049;8323;9721;7706;7652
447;5072;8386;9738;7740;7686
448;5102;8417;9783;7763;7685
449;5094;8379;9768;7768;7722
450;5125;8441;9781;7792;7739
451;5123;8427;9862;7810;7747
452;5136;8471;9852;7840;7777
453;5142;8472;9894;7852;7804
454;5185;8541;9890;7865;7821
455;5139;8510;9964;7886;7828
456;5149;8513;9949;7904;7840
457;5189;8597;9991;7928;7864
458;5257;8617;10046;7941;7893
459;5204;8639;10069;7956;7892
460;5246;8628;10067;7981;7909
461;5260;8663;10094;8004;7939
462;5267;8679;10155;8019;7961
463;5238;8695;10132;8040;7994
464;5274;8743;10167;8047;7981
465;5305;8749;10179;8083;8030
466;5303;8800;10216;8090;8037
467;5299;8794;10197;8119;8061
468;5383;8834;10275;8131;8084
469;5308;8823;10263;8164;8091
470;5340;8846;10302;8165;8117
471;5390;8896;10326;8209;8142
472;5392;8886;10347;8208;8171
473;5393;8937;10366;8236;8170
474;5386;8915;10395;8241;8201
475;5446;9005;10418;8261;8212
476;5425;8953;10452;8285;8232
477;5436;9013;10496;8312;8263
478;5464;9035;10541;8323;8276
479;5441;9045;10550;8357;8301
480;5493;9092;10563;8352;8312
481;5504;9090;10584;8378;8333
482;5502;9107;10612;8425;8352
483;5505;9133;10619;8435;8359
484;5547;9169;10638;8434;8400
485;5532;9217;10659;8461;8408
486;5562;9202;10669;8479;8420
487;5601;9212;10720;8484;8470
488;5605;9267;10701;8519;8471
489;5590;9275;10749;8544;8501
490;5608;9289;10820;8554;8505
491;5651;9340;10823;8575;8530
492;5653;9318;10834;8612;8558
493;5655;9322;10888;8628;8589
494;5677;9421;10859;8642;8588
495;5679;9396;10914;8659;8617
496;5694;9401;10955;8673;8630
497;5687;9431;10964;8692;8661
498;5690;9462;11018;8716;8673
499;5733;9516;11023;8735;8678
500;5763;9512;11002;8745;8735
501;5770;9524;11045;8746;8726
502;5752;9594;11065;8792;8739
503;5790;9634;11129;8804;8783
504;5796;9594;11132;8817;8790
505;5825;9619;11190;8846;8811
506;5854;9643;11201;8867;8852
507;5816;9666;11212;8861;8834
508;5808;9693;11233;8882;8852
509;5868;9721;11283;8921;8875
510;5850;9771;11244;8929;8901
511;5914;9779;11325;8966;8960
512;5914;9796;11312;8981;8962
513;5951;9829;11387;8990;8958
514;5908;9805;11387;9010;8982
515;5951;9866;11363;9051;9012
516;5972;9854;11410;9039;9029
517;5950;9858;11430;9063;9045
518;5972;9902;11472;9093;9065
519;5988;9973;11495;9105;9082
